Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
Purine nucleoside phosphorylase (PNP) deficiency	PNP 	AR		164050	Progressive decrease	Normal	Normal to low	Variable		"Autoimmune haemolytic anemia, neurological impairment"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0012759		
X-linked reticulate pigmentary disorder-POLA1	POLA1	XL		301220						"Hyperpigmentation, characteristic facies, lung and GI involvement"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
Polymerase d 1 deficiency	POLD1	AR		174761	Low CD4 T cells	Low	Low			"Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Polymerase d 2 deficiency	POLD2	AR 		600815	Low CD4 T cells	Low 	Low			"Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Polymerase d 3 deficiency	POLD3	AR			Low naïve T cells	Normal	Low		Athymia	"Omenn syndrome, athymia"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
POLE1 (Polymerase ? subunit 1) deficiency (FILS syndrome)	POLE1	AR		174762	Decreased T cell proliferation	Low memory B cells				"Recurrent respiratory infections, meningitis, facial dysmorphism, livido, short stature "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
POLE2 (Polymerase ? subunit 2) deficiency	POLE2	AR		602670	"Lymphopenia, lack of TRECS, absent proliferation in response to antigens"	Very low				"Recurrent infections, disseminated BCG infections, autoimmunity (type 1 diabetes, hypothyroidism, facial dysmorphism"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
RNA polymerase III deficiency due to POLR3A defects	POLR3A	AD 			Normal 	Normal	Normal	Normal		Severe VZV	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
RNA polymerase III deficiency due to POLR3C defects	POLR3C	AD 			Normal 	Normal	Normal	Normal		Severe VZV	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
RNA polymerase III deficiency due to POLR3F defects	POLR3F	AD 			Normal 	Normal	Normal	Normal		Severe VZV	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
PRAID	POMP	AD			Low CD8	Low				"Interferon signature, panniculitis, autoimmunity, lipodystrophy"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
POU2AF1 deficiency	POU2AF1	AR			"Normal numbers T cells, decreased  cTfh cells"	"Normal B cell numbers, decreased  switched memory B cells, and  altered B cell phenotype"	Agammaglobulinemia			"Recurrent respiratory infections, possible chronic viral infection"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
Perforin deficiency (FHL2)	PRF1	AR		170280	Increased activated T cells	Normal	Normal 	Neutropenia with active HLH		"Fever, HSM,  Hemophagocytic lymphohistiocytosis (HLH), cytopenias"	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
PRIM1	PRIM1	AR		620005	Normal	Low	Low			"Dysmorphic, basal ganglia calcification, Type I IFN"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
PRKCD deficiency	PRKCD	AR		176977	Normal	"Low memory B cells, high CD5 B cells"				"Recurrent infections, EBV chronic infection, lymphoproliferation, SLE-like autoimmunity (nephrotic and antiphospholipid syndromes), low IgG"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
DNA PKcs deficiency	PRKDC 	AR		176977	Very low	Very low	Variable	Normal		Radiation sensitive	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
PSEN deficiency hidradenitis suppurativa	PSEN	AD		104311	Normal 	Normal	Normal	Normal	Epidermis	Hidradenitis suppurative with cutaneous hyperpigmentation	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0040154		
PSENEN deficiency hidradenitis suppurativa	PSENEN	AD		607632	Normal 	Normal	Normal	Normal	Epidermis	Hidradenitis suppurativa	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0040154		
PSMB10 associated Omenn Syndrome	PSMB10	AD			Low	Low	Low			Omenn syndrome	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
PRAAS- CANDLE	PSMB10	AR								"Interferon signature, panniculitis, autoimmunity, lipodystrophy"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
PRAAS- CANDLE	PSMB4	AR and digenic								"Interferon signature, panniculitis, autoimmunity, lipodystrophy"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)	PSMB8	AR 		256040						"Contractures, panniculitis, ICC, fevers"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	695.18	L98.2	HP:0002721	HP:0012490	HP:0001954	
CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)	PSMB8	AD		256040						"Contractures, panniculitis, ICC, fevers"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	695.18	L98.2	HP:0002721	HP:0012490	HP:0001954	
PRAAS -like condition	PSMB9	AR			Mild pancytopenia	Mild pancytopenia	Variable	Mild pancytopenia		"Severe autoinflammatory phenotype (neonatal-onset fever, a chilblain-like skin rash, myositis"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
PRAAS -like condition	PSMB9	AD and various			Mild pancytopenia	Mild pancytopenia	Variable	Mild pancytopenia		"Severe autoinflammatory phenotype (neonatal-onset fever,  Immunodeficiency. "	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
PSMD12 disorder	PSMD12	AR								"Interferon signature, autinfalmmation, neurodevlopmental disorder"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy) 	PSMG2	AR		609702	Normal 	Normal	Normal	Normal		"Panniculitis, lipodystrophy, autoimmune hemolytic anemia"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	695.18	L98.2	HP:0002721	HP:0012490		
"Pyogenic sterile arthritis, pyoderma gangrenosum, acne (PAPA) syndrome, hyperzincemia and hypercalprotectinemia"	PSTPIP1 	AD		604416	Normal 	Normal	Normal	Normal	"Hematopoietic tissues, upregulated in activated T-cells"	"Destructive arthritis, inflammatory skin rash, myositis"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0001954		
PTCRA deficiency	PTCRA	AR			Low T cell in infancy	Normal				"Autoantibodies, norma pateints are normal"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Defects	279.2	D81.9	HP:0002715	HP:0011100		
PTEN Deficiency (LOF)	PTEN	AD		601728			Normal to low			"Recurrent infections, Lymphoproliferation, Autoimmunity; developmental delay"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
CD45 deficiency	PTPRC	AR		151460	Very low	Normal	Low	Normal			Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
"Griscelli syndrome, type 2"	RAB27A 	AR		603868	Normal	Normal				"Partial albinism, fever, HSM, HLH, cytopenias"	Table 4 Diseases of Immune Dysregulation	Subtable 2 FHL Syndromes with Hypopigmentation	288.4	D76.1	HP:0002715	HP:0012156	HP:0005599	
Activated RAC2 defect	RAC2	AD 	GOF	602049	Very low	Very low	Low	Low		Reticular dysgenesis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.0	HP:0002715	HP:0005403		
RAC2 deficiency	RAC2	AR		602049			Low			"Recurrent sinopulmonary infections, selective IgA defiency; poststreptococcal glomerulonephritis; urticaria"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
Rac 2 deficiency (LOF)	RAC2 	AD LOF		602049				High		"Poor wound healing, leukocytosis"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410258		
RAD50 deficiency	RAD50	AR		613078	Low	Low				"Microcephaly, mental retardation, bird-like face, short stature."	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
Fanconi Anemia Type R	RAD51	AR		617244	normal to low	Normal to low			Hematopoietic stem cell	"normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type O	RAD51C	AR		613390	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
RAG1 deficiency	RAG1	AR		179615	Very low	Very low	Low	Normal			Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
RAG2 deficiency	RAG2	AR		179616	Very low	Very low	Low	Normal			Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
Acute necrotizing encephalopathy	RANBP2	AD		601181	Normal 	Normal	Normal	Normal	Ubiquitous expression	Fever induces acute encephalopathy	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	 HP:0006965		
RASGRP1 deficiency	RASGRP1	AR		603962	"Poor activation, proliferation, motility"	"Poor activation, proliferation, motility"		Normal		"Recurrent pneumonia, herpesvirus infections, EBV associated lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
HOIL1 deficiency	RBCK1	AR		610924	Normal numbers 	"Normal,  decreased memory B cells"				"Bacterial infections, autoinflammation, amylopectinosis "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002718		
RECQL4 disorders	RECQL4	AR		268400	Normal or low	Normal or low	Normal or low				Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
c-Rel deficiency	REL	AR		164910	Normal 	Low	Low			"Recurrent infections with bacteria, mycobacteria, salmonella and opportunistic infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
RelA haplosufficiency	RELA	AD		618287	Normal 	Normal	Normal			"Mucosal ulceration, impaired NFkB activation"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
RELA interferonopathy	RELA	AD	DN	618287						"Type I interferon signature, mucocutaneous ulcers, feerts, cytopenias, IBD"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
RelB deficiency	RELB	AR		604758	"Nl number, poor diversity, poor function"					Recurrent infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Fanconia Anemia Type W	RFWD3	AR		617784	normal to low	Normal to low			Hematopoietic stem cell	"normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
MHC class II deficiency group C 	RFX5	AR		601863	Low CD4 cells	Normal	Normal to low			"Respiratory and gastrointestinal infections, liver/biliary tract disease"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403		
MHC class II deficiency group B 	RFXANK 	AR		603200	Low CD4 cells	Normal	Normal to low			"Respiratory and gastrointestinal infections, liver/biliary tract disease"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403		
MHC class II deficiency group D 	RFXAP 	AR		601861	Low CD4 cells	Normal	Normal to low			"Respiratory and gastrointestinal infections, liver/biliary tract disease"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403		
iRHOM deficiency	RHBDF2	AR			Normal 	Normal 	High IgE			"Infections, autoimmunity, pneumatoceles, severe colitis"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
RHOG deficiency	RHOG	AR								"Clinical features of HLH (hemophagocytosis, hepatosplenomegaly, fever, cytopenias, low hemoglobin, hyper-triglyceridemia, elevated ferritin/sCD25"	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
Rhoh Deficiency	RHOH 	AR		602037	"Nl number, low naïve T cells, restricted repertoire, poor proliferation to CD3"	Normal				"HPV infection, lung granulomas, molluscum contagiosum, lymphoma"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
RIPK1 deficiency	RIPK1	AR		618108	Low	Normal to low	Normal 	Normal		"Reccurrent infections, early-onset IBD, progressive polyarthritis"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
RIPK1 deficiency	RIPK1	AD								"Autoinflamamtion with fver, HSM, ulcers, arthralgia, GI inflammation.  Responds to tocilizumab"	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	710.8	M04.1	HP:0002721	HP:0001954		
RIPK3 deficiency	RIPK3	AR							Neurons	HSE	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
Cartilage hair hypoplasia (CHH)	RMRP  	AR		 157660	"Varies from severely decreased (SCID) to normal, impaired lymphocyte proliferation"	Normal		Variable		"Short-limbed dwarfism with metaphyseal dysostosis, sparse hair, bone marrow failure, autoimmunity, susceptibility to lymphoma and other cancers, impaired spermatogenesis, neuronal dysplasia of the intestine"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	279.2	D82.2	HP:0002715	HP:0005403		
"RNASEH2A deficiency, AGS4"	RNASEH2A	AR		606034	Normal 	Normal	Normal	Normal		Classical AGS	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
"RNASEH2B deficiency, AGS2"	RNASEH2B	AR		610326	Normal 	Normal	Normal	Normal		"Classical AGS, SP"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
"RNASEH2C deficiency, AGS3"	RNASEH2C	AR		610330	Normal 	Normal	Normal	Normal		Classical AGS	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
RNASEL deficiency	RNASEL	AR								MISC	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
"RNF168 deficiency (Radiosensitivity, Immune Deficiency, Dysmorphic features, Learning difficulties [RIDDLE] Syndrome)"	RNF168	AR		612688	Normal	Normal	Low IgG or IgA			"Short stature, mild defect of motor control to ataxia, normal intelligence to learning difficulties, mild facial dysmorphism to microcephaly,  increased radiosensitivity"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
HOIP deficiency	RNF31	AR		612487	Normal numbers	"Normal,  decreased memory B cells"				"Bacterial infections, autoinflammation, amylopectinosis, lymphangiectasia"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002718		
MOPD1 deficiency  (Roifman syndrome)	RNU4ATAC	AR		601428	Normal	Normal	"Hypogammaglobulinemia, variably decreased specific antibodies "			"Recurrent bacterial infections, lymphadenopathy, Spondyloepiphyseal dysplasia, extreme intrauterine growth retardation, retinal dystrophy, facial dysmorphism, may present with microcephaly, short stature"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	279.2	D81.9	HP:0002715	HP:0005403		
RNU7-1 deficiency 	RNU7-1	AR		"
619487"						"AGS, Type I interferon in fibroblasts"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
RORgt deficiency	RORC	AR		602943						Susceptibility to mycobacteria and candida	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
Isolated congenital asplenia (ICA) due to RPSA deficiency	RPSA	AD		271400	Normal 	Normal	Normal	Normal	No spleen	Bacteremia (encapsulated bacteria)	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0001746		
DKCA4	RTEL1	AD		615190	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
DKCB5	RTEL1	AR		615190	normal to low	low			Hematopoietic stem cell	"nail dystrophy, leukoplakia, bone marrow failure, severe B-cell immunodeficiency, intrauterine growth retardation, growth retardation, microcephaly, cerebellar hypoplasia, and esophageal dysfunction"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
SAMD9 (GOF)	SAMD9	AD 	GOF	617053	Not reported	Not reported				"IUGR with gonadal abnormalities, adrenal failure, MDS with chromosome 7 aberrations, predisposition to infections, enteropathy, absent spleen"	Table 9 Bone marrow failure		238.72	D46.9	HP:0002721	HP:0005528		
Ataxia Pancytopenia Syndrome	SAMD9L	AD	GOF	611170	nl	low			"Hematopoietic stem cell, myeloid cells"	"MDS, neurological features"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
"SAMHD1 deficiency, AGS5"	SAMHD1	AR		606754	Normal 	Normal	Normal	Normal		"Classical AGS, FCL"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
SASH3 deficiency	SASH3	XL			"CD4+ T cell, NK cell lymphopenia
low naïve CD4 and CD8 T cells "	"B cell lymphopenia
hi  BM plasmablasts"	"low serum IgG, IgA 
reduced specific Ab responses"			"Combined immunodeficiency and immune dysregulation, recurrent  infections, autoimmune cytopenias. 
"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Shwachman-Diamond Syndrome due to SBSD deficiency	SBDS	AR		607444				Low		"Pancytopenia, exocrine pancreatic insufficiency, chondrodysplasia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252		
SEC61A1  deficiency	SEC61A1	AD		609213			Low			Severe recurrent respiratory tract infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
CHARGE syndrome due to SEMA3E deficiency 	SEMA3E  	AD		608166	"Decreased or normal, response to PHA may be decreased"	Normal	Normal or decreased	Normal		"Coloboma, heart anomaly, choanal atresia, intellectual retardation, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403	HP:0012759	
C1 inhibitor deficiency	SERPING1	AD rarely AR		606860	Normal 	Normal	Normal	Normal		Hereditary angioedema	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0100665		
SGPL1 deficiency	SGPL1	AR		617575	Low	Low	Low maybe due to nephrotic syndrome		Low or normal NK cells. 	" Nephrotic syndrome, adrenal insufficiency, ichthyosis/acanthosis, dyslipidaemia, mild hypothyroidism, neurological defects"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Defects	279.2	D81.9	HP:0002715	HP:0011100		
SH2B3 deficiency	SH2B3	AR		605093						"ALPS-like, pleomorphic autoimmunity"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
SH2D1A (SAP) deficiency (XLP1)	SH2D1A 	XL		300490	Normal or Increased activated T cells	Reduced Memory B cells	Variable	Normal	Low iNKT	" EBV, HLH, Lymphoproliferation, Aplastic anaemia"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
Cherubism	SH3BP2 	AD		118400					"Stroma cells, bone cells"	Bone degeneration in jaws	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0000277		
SH3KBP1 (CIN85) deficiency	SH3KBP1	XL		300310			Low			Severe bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
SHARPIN deficiency	SHARPIN	AR				Low			Impaired germinal centers	"Arthritis, fever, colitis, amylopectinosis"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
Tricho-hepato-enteric syndrome due to SKIV2L mutations	SKIV2L	AR 		" 614602 
"	Impaired function	Variably low switched memory B cells	Low			"Respiratory infections,IUGR, facial dysmorphic features, wooly hair, early onset intractable diarrhea, liver cirrhosis, platelet abnormalities"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002014		
Folate malabsorption	SLC19A1	AR			T cell proliferation reduced	Slightly low	Normal or low	Normal		"Mucositis, megaloblastic anemia"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	279.2	D81.9	HP:0002715	HP:0012335		
" Hyperpigmentation hypertrichosis, histiocytosis-lymphadenopathy plus syndrome SLC29A3 mutation"	SLC29A3 	AR		602782					"Leukocytes, bone cells"	"Hyperpigmentation, hypertrichosis, histiocytosis, lymphadenopathy , clinodactyly, short stature, red cell aplasia"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0000998		
Leukocyte adhesion deficiency type 2   (LAD2)	SLC35C1	AR		605881				High		"Mild LAD type 1 features with hh-blood group, growth retardation, developmental delay"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410258		
SLC39A7 (ZIP7) deficiency	SLC39A7	AR		601416		Very low	Very low			"Early onset infections, blistering dermatosis, failure to thrive, thrombocytopenia"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
SLC46A1/PCFT deficiency causing hereditary folate malabsorbtion	SLC46A1	AR		229050	Variable numbers and activation profile	Variable	Low			"Megaloblastic anemia, failure to thrive, if untreated for prolonged periods results in intellectual disability"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	279.2	D81.9	HP:0002715	HP:0012335		
Lysinuric protein intolerance SLC7A7 deficiency	SLC7A7	AR 		222700	Normal 	Normal 			Activated macrophages	"Lysinuric protein intolerance, bleeding tendency, alveolar proteinosis"	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
Fanconi Anemia Type P	SLX4	AR		613951	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Schimke Immuno-osseous Dysplasia	SMARCAL1	AR		606622	Decreased	Normal		Variable		"Short stature, spondiloepiphyseal dysplasia, intrauterine growth retardation, nephropathy, bacterial, viral, fungal infections, may present as SCID, bone marrow failure"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	279.2	D81.9	HP:0002715	HP:0005403		
